Date,Open,High,Low,Close,Adj Close,Volume,Day
"Jul 26, 2021",342.95,345.72,339.71,344.27,344.27,"459,000",1724
"Jul 23, 2021",341.3,344.41,340.33,341.58,341.58,"415,000",1723
"Jul 22, 2021",342.18,342.18,337.63,340.32,340.32,"311,400",1722
"Jul 21, 2021",336.22,346.8,334.19,341.65,341.65,"596,700",1721
"Jul 20, 2021",323.68,336.25,322.28,334.5,334.5,"453,100",1720
"Jul 19, 2021",326,327.49,319.05,323.67,323.67,"778,100",1719
"Jul 16, 2021",342.83,343.74,330.51,332.12,332.12,"586,400",1718
"Jul 15, 2021",340.28,344.83,337.62,340.97,340.97,"416,500",1717
"Jul 14, 2021",344.07,349.7,341.4,342.28,342.28,"517,300",1716
"Jul 13, 2021",342.07,342.99,338.24,339.31,339.31,"416,300",1715
"Jul 12, 2021",341.38,344.5,337.9,342.84,342.84,"581,300",1714
"Jul 9, 2021",338.95,344.33,338.95,343.65,343.65,"414,600",1713
"Jul 8, 2021",337.16,338.42,326.84,335.33,335.33,"561,800",1712
"Jul 7, 2021",352.72,353.92,340.01,340.8,340.8,"659,000",1711
"Jul 6, 2021",351.9,352.67,347.12,351.97,351.97,"548,000",1710
"Jul 2, 2021",354.65,354.65,347.63,351.9,351.9,"400,100",1709
"Jul 1, 2021",346.99,352.65,346.96,348.98,348.98,"626,200",1708
"Jun 30, 2021",344.54,346.94,342.19,345.77,345.77,"503,100",1707
"Jun 29, 2021",343.18,347.42,342.12,343.77,343.77,"375,800",1706
"Jun 28, 2021",350.25,351.46,340.84,343.12,343.12,"672,000",1705
"Jun 25, 2021",353.58,356.31,346.28,348.86,348.86,"864,000",1704
"Jun 24, 2021",343.39,351.94,343.38,351.85,351.85,"793,700",1703
